trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.03, 'e': 0.9704455335485082}",25,0,-136.11976532969848,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
2,False,"{'a': 0.03, 'e': 0.9417645335842487}",20,0,-41.89475509173404,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
3,False,"{'a': 0.03, 'e': 0.9139311852712282}",25,5,-85.93450427030477,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",1
4,False,"{'a': 0.03, 'e': 0.8869204367171575}",25,0,-46.02456841821196,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
5,False,"{'a': 0.03, 'e': 0.8607079764250578}",20,0,-57.23357135497817,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.03, 'e': 0.835270211411272}",20,0,-113.95842094979946,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.03, 'e': 0.8105842459701871}",25,15,-39.01345754300581,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
8,False,"{'a': 0.03, 'e': 0.7866278610665535}",35,1,-152.78666724640428,"{0: 22, 1: 4, 2: 4, 3: 2, 4: 2}",1
9,False,"{'a': 0.03, 'e': 0.7633794943368531}",25,3,-58.9473106721581,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 0}",1
10,False,"{'a': 0.03, 'e': 0.7408182206817179}",30,0,-83.50528400817309,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.03, 'e': 0.7189237334319262}",20,0,-29.833239243605934,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.03, 'e': 0.697676326071031}",20,8,-30.237095031853652,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
13,False,"{'a': 0.03, 'e': 0.6770568744981647}",30,14,17.28549947767462,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.03, 'e': 0.6570468198150569}",20,0,-60.09305789976813,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
15,False,"{'a': 0.03, 'e': 0.6376281516217733}",20,0,-95.57356421614992,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",1
16,False,"{'a': 0.03, 'e': 0.6187833918061408}",25,1,-153.45811266966825,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 4}",1
17,False,"{'a': 0.03, 'e': 0.600495578812266}",20,0,-71.11878027723819,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
18,False,"{'a': 0.03, 'e': 0.5827482523739896}",25,0,-73.46274613764112,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.03, 'e': 0.5655254386995372}",25,0,-154.62575388896926,"{0: 13, 1: 5, 2: 3, 3: 2, 4: 2}",0
20,False,"{'a': 0.03, 'e': 0.5488116360940265}",25,0,-184.00757334646667,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
21,False,"{'a': 0.03, 'e': 0.5325918010068972}",25,6,-69.5963028010418,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 1}",1
22,False,"{'a': 0.03, 'e': 0.5168513344916993}",30,19,-51.76571134609046,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 1}",1
23,False,"{'a': 0.03, 'e': 0.5015760690660556}",20,0,-131.47423264036928,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",1
24,False,"{'a': 0.03, 'e': 0.4867522559599717}",20,0,-69.8877256473115,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
25,False,"{'a': 0.03, 'e': 0.47236655274101474}",20,0,-121.34424822119504,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
26,False,"{'a': 0.03, 'e': 0.45840601130522357}",20,9,19.31011096550002,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.03, 'e': 0.44485806622294116}",20,0,-138.53396491894156,"{0: 10, 1: 1, 2: 5, 3: 3, 4: 1}",0
28,False,"{'a': 0.03, 'e': 0.43171052342907973}",20,0,-4.396282673202315,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
29,False,"{'a': 0.03, 'e': 0.418951549247639}",25,0,-24.997898991790777,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
30,False,"{'a': 0.03, 'e': 0.40656965974059917}",30,13,16.508537159146666,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.03, 'e': 0.3945537103716012}",20,0,-66.28411973054301,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
32,False,"{'a': 0.03, 'e': 0.38289288597511206}",25,0,-66.73614936536592,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
33,False,"{'a': 0.03, 'e': 0.3715766910220457}",30,0,-115.42633654994471,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 3}",0
34,False,"{'a': 0.03, 'e': 0.3605949401730783}",20,0,-45.91072919347907,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
35,False,"{'a': 0.03, 'e': 0.3499377491111554}",20,0,-61.503426680958526,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
36,False,"{'a': 0.03, 'e': 0.33959552564493917}",25,0,-31.02280817268452,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
37,False,"{'a': 0.03, 'e': 0.3295589610751891}",20,0,-44.05710375569915,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
38,False,"{'a': 0.03, 'e': 0.31981902181630395}",30,0,20.59598098575467,"{0: 27, 1: 2, 2: 1, 3: 0, 4: 0}",0
39,False,"{'a': 0.03, 'e': 0.31036694126548503}",30,4,-2.0223336988018294,"{0: 22, 1: 2, 2: 1, 3: 1, 4: 0}",1
40,False,"{'a': 0.03, 'e': 0.30119421191220214}",25,9,-68.02314309283892,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 2}",1
41,False,"{'a': 0.03, 'e': 0.2922925776808594}",25,14,1.6969415784329422,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
42,False,"{'a': 0.03, 'e': 0.2836540264997704}",20,0,-7.707173764518498,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
43,False,"{'a': 0.03, 'e': 0.27527078308975234}",20,0,-57.83664038755104,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
